ens_gene_id	ens_tx_id	mol_name	tissue	ref_name	type	chrom	tx_start	tx_stop	inference	cv.R2	cv.R2.pval	twas_z	pip	in_cred_set	region
MAPT	NA	MAPT	brain_cortex	brain_cortex	NA	17	43971748	44105700	enet	0.07082970536506783	0.00526796502882606	-9.2	0.85	1	17:43056905-17:45876022
KANSL1-AS1	NA	KANSL1-AS1	brain_cortex	brain_cortex	NA	17	44270942	44274089	lasso	0.6042134947273565	1.2231522241029969e-20	8.98	0.127	0	17:43056905-17:45876022
LRRC37A4P	NA	LRRC37A4P	brain_cortex	brain_cortex	NA	17	43578685	43623042	lasso	0.36166805666029156	6.990323838186935e-11	-8.8	0.029	0	17:43056905-17:45876022
PLEKHM1	NA	PLEKHM1	brain_cortex	brain_cortex	NA	17	43513266	43568115	lasso	0.17292468757002455	1.652218931306605e-05	8.36	0.0017	0	17:43056905-17:45876022
LRRC37A2	NA	LRRC37A2	brain_cortex	brain_cortex	NA	17	44588877	44630815	enet	0.563436561244706	1.2081751991741934e-18	8.14	0.00105	0	17:43056905-17:45876022
WNT3	NA	WNT3	brain_cortex	brain_cortex	NA	17	44839872	44910424	enet	0.10042376956963617	0.001026332071846707	4.9	0.000481	0	17:43056905-17:45876022
ARL17B	NA	ARL17B	brain_cortex	brain_cortex	NA	17	44352150	44439130	enet	0.31227572392806047	2.392008294487963e-09	-2.22	0.000316	0	17:43056905-17:45876022
CRHR1-IT1	NA	CRHR1-IT1	brain_cortex	brain_cortex	NA	17	43697694	43725582	lasso	0.1519849261815761	5.58005487956367e-05	7.59	0.000294	0	17:43056905-17:45876022
RP11-156P1.3	NA	RP11-156P1.3	brain_cortex	brain_cortex	NA	17	45061411	45177689	enet	0.26912661295238594	4.333252908358015e-08	-0.326	0.000225	0	17:43056905-17:45876022
ARL17A	NA	ARL17A	brain_cortex	brain_cortex	NA	17	44594068	44657088	lasso	0.24805325174101422	1.6852589759432393e-07	-2.63	0.00021	0	17:43056905-17:45876022
CTD-2020K17.3	NA	CTD-2020K17.3	brain_cortex	brain_cortex	NA	17	43315395	43319101	lasso	0.1810120754579978	1.0260006212678494e-05	-1.15	0.000154	0	17:43056905-17:45876022
MRPL10	NA	MRPL10	brain_cortex	brain_cortex	NA	17	45900638	45908900	lasso	0.10387091943740856	0.0008473080101971677	0.0448	0.000144	0	17:43056905-17:45876022
LRRC37A	NA	LRRC37A	brain_cortex	brain_cortex	NA	17	44370099	44415160	lasso	0.4425524161018385	1.168701561553436e-13	4.13	0.000141	0	17:43056905-17:45876022
NULL.MODEL	NA	NULL	NA	NA	NULL	17	NA	NA	NA	NA	NA	0	6.53e-15	0	17:43056905-17:45876022
