PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000131591.13.C1orf159.wgt.RDat	C1orf159	1	1017198	1051741	0.341	rs9442372	-2.86	rs6678318	 0.25014	-5.15	-0.984	206	 1	top1	0.25	1.5e-07	 0.98400	0.325116
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000186891.9.TNFRSF18.wgt.RDat	TNFRSF18	1	1138888	1142071	0.455	rs9442372	-2.86	rs3813204	 0.36594	 5.98	 0.457	216	 1	top1	0.37	5.1e-11	 0.45700	0.647671
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000235098.4.ANKRD65.wgt.RDat	ANKRD65	1	1353800	1357149	0.268	rs9442372	-2.86	rs12089560	 0.08838	-4.58	-0.426	274	12	enet	0.14	0.00012	-0.71222	0.476332
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000149527.13.PLCH2.wgt.RDat	PLCH2	1	2357419	2436965	0.274	rs10910082	-3.98	rs2494606	 0.02673	 3.24	-2.561	353	17	enet	0.042	0.026	-1.05487	0.291486
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000131697.13.NPHP4.wgt.RDat	NPHP4	1	5922871	6046387	0.283	rs770711	 3.12	rs11576617	 0.14900	-5.03	-0.232	534	 6	lasso	0.19	5.2e-06	 0.00854	0.993182
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000226849.1.RP4-635E18.7.wgt.RDat	RP4-635E18.7	1	11128528	11133154	0.172	rs1280995	-3.14	rs2076655	 0.05006	 4.04	 1.682	343	 4	lasso	0.067	0.0064	 1.77301	0.076227
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000177000.6.MTHFR.wgt.RDat	MTHFR	1	11851264	11865351	0.428	rs17422381	-2.49	rs6661145	-0.00671	-3.05	-0.114	457	26	enet	0.022	0.08	-0.40584	0.684863
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000142632.12.ARHGEF19.wgt.RDat	ARHGEF19	1	16524349	16539104	0.239	rs945416	-2.80	rs221035	 0.23713	 4.91	 0.319	320	 1	top1	0.24	3.4e-07	 0.31900	0.749727
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000226029.1.RP4-798A10.2.wgt.RDat	RP4-798A10.2	1	16787443	16794976	0.347	rs945416	-2.80	rs157252	-0.00973	-3.82	 1.140	227	 3	lasso	0.013	0.14	-1.04880	0.294272
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000186301.7.MST1P2.wgt.RDat	MST1P2	1	16972069	16976914	0.254	rs11581590	-3.15	rs149562	 0.06563	 4.26	-0.896	254	 5	lasso	0.067	0.0067	-1.48911	0.136458
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000186715.6.MST1L.wgt.RDat	MST1L	1	17081405	17096732	0.377	rs11581590	-3.15	rs761422	 0.11877	-4.54	-0.726	282	 1	top1	0.12	0.00037	 0.72600	0.467839
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000238142.1.RP11-108M9.4.wgt.RDat	RP11-108M9.4	1	17215033	17216144	0.491	rs11581590	-3.15	rs6691985	 0.10526	 4.11	-0.369	326	 8	lasso	0.15	5.2e-05	 0.58355	0.559524
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000235241.1.RP11-108M9.5.wgt.RDat	RP11-108M9.5	1	17215590	17216097	0.409	rs11581590	-3.15	rs6691985	 0.21550	 4.62	-0.369	326	 1	top1	0.22	1.3e-06	-0.36900	0.712128
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000127463.9.EMC1.wgt.RDat	EMC1	1	19542158	19571524	0.319	rs6683868	 3.07	rs3748759	 0.16042	-5.12	 0.680	516	 4	lasso	0.2	4.3e-06	-0.55194	0.580989
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000053372.4.MRTO4.wgt.RDat	MRTO4	1	19581276	19586622	0.326	rs6683868	 3.07	rs10917277	 0.25174	-5.14	 0.547	492	 1	top1	0.25	1.3e-07	-0.54700	0.584379
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000169914.5.OTUD3.wgt.RDat	OTUD3	1	20209006	20239438	0.463	rs7514144	-4.25	rs2315059	 0.15772	 5.19	 0.520	538	 8	lasso	0.24	3.4e-07	 0.20274	0.839340
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000090432.5.MUL1.wgt.RDat	MUL1	1	20825943	20834654	0.418	rs4654874	-4.88	rs529974	 0.30525	-5.52	-1.431	491	 7	lasso	0.31	2.8e-09	 1.09992	0.271367
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000227001.2.NBPF2P.wgt.RDat	NBPF2P	1	21751118	21754460	0.373	rs2874367	-4.76	rs2047654	 0.20527	-4.90	 0.324	368	 7	lasso	0.21	2.2e-06	 0.30025	0.763988
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000142794.14.NBPF3.wgt.RDat	NBPF3	1	21766621	21811498	0.447	rs2874367	-4.76	rs2047654	 0.42717	 6.72	 0.324	390	 4	lasso	0.45	4.4e-14	 0.17633	0.860035
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000218510.3.LINC00339.wgt.RDat	LINC00339	1	22351681	22357716	0.506	rs2128699	 3.14	rs11586488	 0.54149	 7.21	-0.039	498	 1	top1	0.54	1.2e-17	-0.03900	0.968890
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000169641.9.LUZP1.wgt.RDat	LUZP1	1	23410516	23504301	0.234	rs623183	 4.71	rs643492	 0.13958	-3.78	-2.001	405	 1	top1	0.14	0.00011	 2.00100	0.045392
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000204219.5.TCEA3.wgt.RDat	TCEA3	1	23707554	23751233	0.507	rs10799802	 3.24	rs2077066	 0.36028	-5.90	-1.634	319	 1	top1	0.36	7.7e-11	 1.63400	0.102259
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000117305.10.HMGCL.wgt.RDat	HMGCL	1	24128375	24165110	0.215	rs10799802	 3.24	rs11591202	 0.09104	 4.28	 2.586	365	12	enet	0.12	0.00032	 3.33604	0.000850
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000142684.7.ZNF593.wgt.RDat	ZNF593	1	26496362	26498551	0.481	rs4233458	-3.40	rs12145714	 0.38280	 6.19	-0.319	426	 4	lasso	0.41	1.9e-12	-1.25668	0.208870
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000236782.1.RP11-96L14.7.wgt.RDat	RP11-96L14.7	1	26496438	26498312	0.474	rs4233458	-3.40	rs12145714	 0.37287	 6.13	-0.319	426	 6	lasso	0.38	1.4e-11	-1.13505	0.256352
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000142675.13.CNKSR1.wgt.RDat	CNKSR1	1	26503894	26516377	0.455	rs4233458	-3.40	rs12145714	 0.22901	-5.74	-0.319	425	33	enet	0.31	3.5e-09	-0.20002	0.841464
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000090273.9.NUDC.wgt.RDat	NUDC	1	27228773	27273353	0.162	rs6699237	 2.19	rs34339345	 0.03900	 3.58	 1.135	258	 1	top1	0.039	0.031	 1.13500	0.256375
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000142748.8.FCN3.wgt.RDat	FCN3	1	27695603	27701315	0.341	NA	   NA	NA	      NA	   NA	    NA	  0	 0	enet	-0.0044	0.44	      NA	      NA
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000158161.11.EYA3.wgt.RDat	EYA3	1	28296855	28415207	0.238	rs9426420	 2.69	rs6699701	 0.10948	 4.02	-0.941	267	 1	top1	0.11	0.00062	-0.94100	0.346705
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000270605.1.RP5-1092A3.4.wgt.RDat	RP5-1092A3.4	1	28566020	28567964	0.481	rs17262293	 3.27	rs2938867	 0.45978	-6.65	-1.626	251	 1	top1	0.46	2.7e-14	 1.62600	0.103950
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000204138.8.PHACTR4.wgt.RDat	PHACTR4	1	28696114	28826881	0.236	rs1338062	 3.27	rs10751728	 0.20727	-5.18	-0.866	320	 1	top1	0.21	2.1e-06	 0.86600	0.386490
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000242125.2.SNHG3.wgt.RDat	SNHG3	1	28832492	28837404	0.307	rs1338062	 3.27	rs7548279	 0.01133	-4.05	 0.659	269	13	enet	0.054	0.013	-0.06357	0.949310
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000235790.3.RP11-73M7.6.wgt.RDat	RP11-73M7.6	1	32109650	32125539	0.410	rs10798888	 3.28	rs6425780	 0.07528	-4.36	 1.037	335	25	enet	0.089	0.0019	-0.50758	0.611748
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000084636.13.COL16A1.wgt.RDat	COL16A1	1	32117848	32169920	0.475	rs10798888	 3.28	rs10914472	 0.06480	-4.31	 0.382	343	25	enet	0.11	0.00062	-0.28942	0.772262
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000233621.1.RP11-422J8.1.wgt.RDat	RP11-422J8.1	1	37920480	37940012	0.343	rs16823744	-4.72	rs2492301	 0.27069	-5.47	 0.845	440	 3	lasso	0.33	6.1e-10	-0.84410	0.398615
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000163879.9.DNALI1.wgt.RDat	DNALI1	1	38022520	38027846	0.238	rs218419	-3.96	rs17559337	 0.20916	 4.81	 0.298	443	 7	lasso	0.22	7.9e-07	 0.46555	0.641541
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000183682.7.BMP8A.wgt.RDat	BMP8A	1	39957318	39991607	0.267	rs687848	 3.87	rs1180347	 0.01252	 4.33	-3.292	376	26	enet	0.073	0.0047	-1.46468	0.143008
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000084072.12.PPIE.wgt.RDat	PPIE	1	40157854	40228323	0.317	rs687848	 3.87	rs12074147	 0.22506	 5.25	 0.833	403	 1	top1	0.23	7.1e-07	 0.83300	0.404845
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000187815.5.ZFP69.wgt.RDat	ZFP69	1	40942887	40962015	0.557	rs4660159	-2.94	rs7511983	 0.02370	 3.92	-0.040	417	65	enet	0.13	0.00018	-0.49724	0.619019
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000272145.1.RP4-739H11.4.wgt.RDat	RP4-739H11.4	1	41156052	41157738	0.259	rs661221	 2.92	rs7519348	 0.09779	 4.33	 1.088	404	 1	top1	0.098	0.0012	 1.08800	0.276595
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000164008.9.C1orf50.wgt.RDat	C1orf50	1	43232940	43263968	0.367	rs11210782	-2.93	rs3768027	 0.13647	-4.93	-0.556	423	 1	top1	0.14	0.00014	 0.55600	0.578211
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000177868.7.CCDC23.wgt.RDat	CCDC23	1	43272723	43282475	0.216	rs11210782	-2.93	rs655741	 0.25766	 5.05	-0.385	422	 1	top1	0.26	9.1e-08	-0.38500	0.700237
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000159479.12.MED8.wgt.RDat	MED8	1	43849588	43855479	0.316	rs11210782	-2.93	rs11210796	-0.00683	 2.86	 0.619	448	29	enet	0.0049	0.23	 0.45743	0.647361
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000117407.12.ARTN.wgt.RDat	ARTN	1	44398992	44402913	0.132	rs1989951	 3.34	rs617521	 0.04041	 4.06	-1.911	404	 1	top1	0.04	0.028	-1.91100	0.056005
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000236624.4.CCDC163P.wgt.RDat	CCDC163P	1	45959538	45965115	0.338	rs9429157	 2.32	rs945179	 0.44945	 6.66	 0.502	276	 1	top1	0.45	6.5e-14	 0.50200	0.615668
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000272491.1.RP5-1024N4.4.wgt.RDat	RP5-1024N4.4	1	48693560	48695233	0.221	rs1561572	 2.44	rs3767618	 0.06455	 3.97	-0.484	465	40	enet	0.14	9.9e-05	-0.67319	0.500826
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000272091.1.RP4-758J24.5.wgt.RDat	RP4-758J24.5	1	54492356	54494172	0.559	rs11206328	 2.81	rs17109989	 0.07027	 5.69	-0.291	468	 4	lasso	0.074	0.0044	-0.22629	0.820974
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000212670.1.AL161915.1.wgt.RDat	AL161915.1	1	54569968	54571750	0.279	rs11206328	 2.81	rs9919296	-0.01015	 3.42	-0.382	466	12	enet	-0.0032	0.41	 0.05414	0.956824
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000162409.6.PRKAA2.wgt.RDat	PRKAA2	1	57110995	57181008	0.340	rs599857	 4.29	rs10493215	 0.08106	 4.17	-0.599	685	 1	top1	0.081	0.003	-0.59900	0.549173
