PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000151849.10.CENPJ.wgt.RDat	CENPJ	13	25457171	25497018	0.424	rs963983	-3.26	rs4340170	0.2026	 4.47	 1.077	538	34	enet	0.23	6.6e-07	 0.998	0.31818
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000187676.7.B3GALTL.wgt.RDat	B3GALTL	13	31774073	31906413	0.252	rs9599017	 4.88	rs912603	0.1320	 4.85	-2.827	643	 8	lasso	0.15	5.4e-05	-2.762	0.00575
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000176268.5.CYCSP34.wgt.RDat	CYCSP34	13	41437735	41438038	0.351	rs2951787	 2.51	rs2039119	0.0587	-3.95	-0.716	339	34	enet	0.098	0.0011	 0.548	0.58366
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000120675.4.DNAJC15.wgt.RDat	DNAJC15	13	43597339	43683045	0.557	rs7322455	 3.42	rs17553284	0.2628	-6.13	 1.982	623	 6	lasso	0.42	6.4e-13	-1.332	0.18281
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000229111.1.MED4-AS1.wgt.RDat	MED4-AS1	13	48651273	48654127	0.155	rs9534939	-3.03	rs7996581	0.1140	-4.23	 0.116	336	 1	top1	0.11	0.00048	-0.116	0.90765
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000102547.14.CAB39L.wgt.RDat	CAB39L	13	49882786	49994611	0.396	rs6561497	 2.98	rs11619804	0.1512	-4.53	 1.107	467	 1	top1	0.15	5.8e-05	-1.107	0.26829
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000123179.9.EBPL.wgt.RDat	EBPL	13	50234859	50265611	0.357	rs9535241	-2.62	rs9568298	0.0802	-4.72	-0.163	391	24	enet	0.14	0.00015	-1.372	0.17007
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000136104.14.RNASEH2B.wgt.RDat	RNASEH2B	13	51483814	51544592	0.505	rs9568603	-2.77	rs9535526	0.4087	-6.29	-0.486	541	 1	top1	0.41	1.9e-12	 0.486	0.62697
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000102796.6.DHRS12.wgt.RDat	DHRS12	13	52342129	52378293	0.374	rs4943003	-2.82	rs7329391	0.1729	-4.83	 0.229	374	 1	top1	0.17	1.7e-05	-0.229	0.81887
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000136108.10.CKAP2.wgt.RDat	CKAP2	13	53029564	53050763	0.214	rs12429429	-2.63	rs9568732	0.1179	 4.83	-0.387	369	 9	enet	0.14	1e-04	-0.170	0.86493
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000139675.10.HNRNPA1L2.wgt.RDat	HNRNPA1L2	13	53191605	53217919	0.263	rs9536330	 3.39	rs9526975	0.1720	-4.76	-0.181	422	 1	top1	0.17	1.7e-05	 0.181	0.85637
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000083535.11.PIBF1.wgt.RDat	PIBF1	13	73357561	73590591	0.253	rs17090071	 3.12	rs9564921	0.2264	-4.93	 1.264	652	 1	top1	0.23	6.6e-07	-1.264	0.20623
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000136111.8.TBC1D4.wgt.RDat	TBC1D4	13	75858808	76056250	0.392	rs17065005	-3.05	rs9318335	0.1206	 4.89	-0.323	569	 1	top1	0.12	0.00033	-0.323	0.74670
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000118939.13.UCHL3.wgt.RDat	UCHL3	13	76123619	76180085	0.582	rs6562940	 3.92	rs3818355	0.0957	-4.48	 0.474	559	 1	top1	0.096	0.0013	-0.474	0.63550
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000261105.1.RP11-173B14.5.wgt.RDat	RP11-173B14.5	13	76178836	76210130	0.344	rs6562940	 3.92	rs9593109	0.2257	 4.75	 1.971	557	 3	lasso	0.27	3.7e-08	 1.102	0.27028
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000228444.2.RP11-173B14.4.wgt.RDat	RP11-173B14.4	13	76205407	76206271	0.473	rs6562940	 3.92	rs9573665	0.0336	 3.90	 1.628	544	10	enet	0.078	0.0035	 1.225	0.22050
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000227354.2.RBM26-AS1.wgt.RDat	RBM26-AS1	13	79980444	79998463	0.447	rs9601250	-2.88	rs9574424	0.3987	 6.38	 0.446	395	 1	top1	0.4	4.1e-12	 0.446	0.65560
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000260992.1.DOCK9-AS2.wgt.RDat	DOCK9-AS2	13	99740073	99740879	0.251	rs9584870	-3.74	rs9557137	0.0824	-3.98	-1.514	533	 1	top1	0.082	0.0028	 1.514	0.13003
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000150403.13.TMCO3.wgt.RDat	TMCO3	13	114145310	114204542	0.238	rs9549724	-4.05	rs2260334	0.1653	-4.15	-1.488	361	 1	top1	0.17	2.6e-05	 1.488	0.13675
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000185989.9.RASA3.wgt.RDat	RASA3	13	114747194	114898086	0.261	rs3813133	-2.48	rs1109630	0.1480	-4.32	 0.611	253	 2	lasso	0.23	5.4e-07	-0.776	0.43750
NA	./WEIGHTS//GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000169062.10.UPF3A.wgt.RDat	UPF3A	13	115047059	115071283	0.250	rs3813133	-2.48	rs9525326	0.1059	-4.33	-1.268	182	 1	top1	0.11	0.00076	 1.268	0.20480
